id,name,unit,region_name,indicator_topic,indicator_source,indicator_name,indicator_group,url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AO,Angola,MJ/USD PPP 2017,Southern Africa,Efficiency,Tracking SDG7/WBG,Energy intensity level of primary energy (MJ/2017 PPP GDP),Energy,/aep/country/angola,3.76510000228882,3.73970007896423,3.41070008277893,3.56279993057251,3.23480010032654,2.64079999923706,2.64619994163513,2.54559993743896,2.51259994506836,2.76780009269714,2.64730000495911,2.65420007705688,2.77749991416931,2.65070009231567,2.29239988327026,2.72480010986328,2.59310007095337,2.65429997444153,2.47009992599487,2.66109991073608,2.80220007896423,3.10240006446838,
AO,Angola,Millions of people,Southern Africa,Access,Tracking SDG7/WBG,Energy: Population without access to clean cooking fuels (millions of people),Energy,/aep/country/angola,9.71658325195313,9.9606876373291,10.2800006866455,10.5397510528564,10.9798488616943,11.2036056518555,11.5293054580688,11.9476852416992,12.2505531311035,12.6277475357056,12.9464979171753,13.3686447143555,13.6272096633911,14.0521030426025,14.3755311965942,14.6818513870239,15.0406265258789,15.3984260559082,15.8179388046265,16.2116603851318,16.5121822357178,17.0150337219238,17.4941501617432
BF,Burkina Faso,MJ/USD PPP 2017,West Africa,Efficiency,Tracking SDG7/WBG,Energy intensity level of primary energy (MJ/2017 PPP GDP),Energy,/aep/country/burkina-faso,5.37430000305176,5.18440008163452,5.10920000076294,4.9411997795105,4.77880001068115,5.50869989395142,5.47690010070801,5.70849990844727,5.74170017242432,5.63609981536865,5.30649995803833,5.2992000579834,5.42030000686646,5.50349998474121,5.55410003662109,5.80350017547607,5.50349998474121,5.61149978637695,5.70730018615723,5.57229995727539,5.5327000617981,5.43190002441406,5.40000009536743
BF,Burkina Faso,Millions of people,West Africa,Access,Tracking SDG7/WBG,Energy: Population without access to clean cooking fuels (millions of people),Energy,/aep/country/burkina-faso,11.2945251464844,11.5981969833374,11.9120140075684,12.2243633270264,12.561469078064,12.8984746932983,13.234525680542,13.5964269638062,13.9552431106567,14.3234806060791,14.7001171112061,15.0848226547241,15.4278059005737,15.7922658920288,16.1439304351807,16.4987754821777,16.7817878723145,17.1204948425293,17.4012031555176,17.6594352722168,17.8723640441895,18.1004409790039,18.3007373809814
BI,Burundi,MJ/USD PPP 2017,East Africa,Efficiency,Tracking SDG7/WBG,Energy intensity level of primary energy (MJ/2017 PPP GDP),Energy,/aep/country/burundi,10.750599861145,10.9457998275757,10.6964998245239,10.3240003585815,10.0059003829956,9.49380016326904,9.05900001525879,8.79780006408691,8.43179988861084,8.1269998550415,7.98430013656616,7.88990020751953,7.47989988327026,7.55280017852783,7.06820011138916,7.3407998085022,7.52099990844727,7.58300018310547,7.69029998779297,7.59630012512207,7.74300003051758,7.47529983520508,7.40000009536743
BI,Burundi,Millions of people,East Africa,Access,Tracking SDG7/WBG,Energy: Population without access to clean cooking fuels (millions of people),Energy,/aep/country/burundi,6.38150405883789,6.53616142272949,6.72134447097778,6.93225383758545,7.1609034538269,7.40101909637451,7.6523118019104,7.92369365692139,8.19583988189697,8.47205257415771,8.74939632415771,9.02542114257813,9.30107021331787,9.58098602294922,9.8720064163208,10.1788711547852,10.5030717849731,10.853385925293,11.2052335739136,11.5643844604492,11.9272909164429,12.2931547164917,12.6627941131592
BJ,Benin,MJ/USD PPP 2017,West Africa,Efficiency,Tracking SDG7/WBG,Energy intensity level of primary energy (MJ/2017 PPP GDP),Energy,/aep/country/benin,4.87930011749268,4.92630004882813,5.05000019073486,5.14870023727417,5.14729976654053,5.07849979400635,5.7649998664856,5.91379976272583,5.76300001144409,5.90950012207031,5.99690008163452,5.82140016555786,5.61320018768311,5.71299982070923,5.54090023040771,5.79360008239746,6.2221999168396,6.10869979858398,6.04540014266968,5.6939001083374,5.78889989852905,4.79010009765625,
BJ,Benin,Millions of people,West Africa,Access,Tracking SDG7/WBG,Energy: Population without access to clean cooking fuels (millions of people),Energy,/aep/country/benin,6.82475519180298,7.02011919021606,7.21514463424683,7.4077467918396,7.60275411605835,7.79863405227661,7.98682308197021,8.17578315734863,8.36643314361572,8.5690279006958,8.7944917678833,9.00668334960938,9.25243091583252,9.50422763824463,9.76208782196045,10.0154247283936,10.3069400787354,10.5945539474487,10.8769292831421,11.1643037796021,11.4319705963135,11.7275323867798,12.0146198272705
BW,Botswana,MJ/USD PPP 2017,Southern Africa,Efficiency,Tracking SDG7/WBG,Energy intensity level of primary energy (MJ/2017 PPP GDP),Energy,/aep/country/botswana,3.83629989624023,3.79220008850098,3.58550000190735,3.39120006561279,3.44420003890991,3.38529992103577,3.26290011405945,3.18140006065369,3.23819994926453,3.44109988212585,3.40350008010864,3.0357999801635698,3.46679997444153,3.28649997711182,3.39249992370605,3.54979991912842,3.17440009117126,3.1784999370575,3.24790000915527,2.92079997062683,2.88639998435974,2.68289995193481,
BW,Botswana,Millions of people,Southern Africa,Access,Tracking SDG7/WBG,Energy: Population without access to clean cooking fuels (millions of people),Energy,/aep/country/botswana,0.964413702487946,0.944155037403107,0.927355527877808,0.914799869060516,0.896371722221375,0.88895308971405,0.878054916858673,0.865315139293671,0.85055536031723,0.845409631729126,0.838184237480164,0.832843661308289,0.833636701107025,0.840760290622711,0.837069153785706,0.84391325712204,0.843847513198853,0.847914576530457,0.846951961517334,0.845370411872864,0.850349605083466,0.849933803081512,0.848862707614899
