id,name,unit,region_name,indicator_topic,indicator_source,indicator_name,indicator_group,url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AO,Angola,Current US$,Southern Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/angola,9146631168.0,11531897856.0,15285599232.0,17812705280.0,23552063488.0,36970901504.0,52381024256.0,65266417664.0,88538669056.0,70307192832.0,83799482368.0,111789744128.0,128364814336.0,136709890048.0,145712168960.0,116193648640.0,101123751936.0,122123862016.0,101353209856.0,84515536896.0,58375979008.0,74558267392.0,94181269504.0
AO,Angola,Millions of people,Southern Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/angola,8.20610046386719,8.27524757385254,8.35385131835938,8.43812847137451,8.52222061157227,8.60311794281006,8.76070022583008,8.91891098022461,9.0775146484375,9.23754501342773,9.39827728271484,9.55961418151855,9.72016906738281,9.87894344329834,10.0331087112427,10.1835603713989,10.3298597335815,10.4725542068481,10.6126670837402,10.7516260147095,10.8904476165771,11.0293264389038,11.168041229248
AO,Angola,Millions of people,Southern Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/angola,8.23482418060303,8.70801830291748,9.21879768371582,9.76524066925049,10.3434953689575,10.949423789978,11.5016994476318,12.0787763595581,12.6819047927856,13.3120021820068,13.970853805542,14.6589508056641,15.3759813308716,16.1193962097168,16.887357711792,17.675745010376,18.4836025238037,19.3116397857666,20.1615371704102,21.0359401702881,21.9369525909424,22.8651580810547,23.8202610015869
BF,Burkina Faso,Current US$,West Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/burkina-faso,2632700160.0,2812845568.0,3205649664.0,4205606912.0,4838488576.0,5462699520.0,5816327168.0,6771176448.0,8369709568.0,8369154560.0,8980025344.0,10724061184.0,13096217600.0,14140817408.0,14465082368.0,11833357312.0,12829821952.0,14101977088.0,16067194880.0,15991481344.0,17512349696.0,21152665600.0,22855335936.0
BF,Burkina Faso,Millions of people,West Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/burkina-faso,9.53667545318604,9.73010540008545,9.92575359344482,10.1241540908813,10.3257646560669,10.5312023162842,10.7398099899292,10.9745788574219,11.2326440811157,11.4953012466431,11.7611923217773,12.029972076416,12.3012275695801,12.5747098922729,12.8493709564209,13.1247692108154,13.4005212783813,13.6766519546509,13.952880859375,14.229172706604,14.5054340362549,14.7813758850098,15.0567073822021
BF,Burkina Faso,Millions of people,West Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/burkina-faso,2.07126688957214,2.2144820690155,2.3673460483551,2.53046703338623,2.70480394363403,2.89072799682617,3.0893669128418,3.27744197845459,3.45708203315735,3.64579796791077,3.8440248966217,4.05193185806274,4.26998805999756,4.49801301956177,4.73660612106323,4.98585510253906,5.24591207504272,5.51672983169556,5.7987699508667,6.09238719940186,6.39791107177734,6.71558523178101,7.04563522338867
BI,Burundi,Current US$,East Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/burundi,709114624.0,662345984.0,628077184.0,595002944.0,664500160.0,1117113088.0,1273375104.0,1356199424.0,1611835904.0,1781455104.0,2032135168.0,2235820800.0,2327374592.0,2455668480.0,2705853952.0,3104425728.0,2959670272.0,3171708160.0,3036619008.0,3012481536.0,3039798528.0,3571282432.0,3818208256.0
BI,Burundi,Millions of people,East Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/burundi,5.872887134552,6.00111293792725,6.15626907348633,6.33375120162964,6.52604484558105,6.72734880447388,6.93720388412476,7.15638399124146,7.3813648223877,7.60818815231323,7.83395910263062,8.0564432144165,8.27641582489014,8.49792671203613,8.72690868377686,8.96735858917236,9.22035598754883,9.48382663726807,9.75474643707275,10.0287666320801,10.302640914917,10.5755567550659,10.8480758666992
BI,Burundi,Millions of people,East Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/burundi,0.527818977832794,0.554715991020203,0.585300028324127,0.619361996650696,0.656405985355377,0.695940017700195,0.738134026527405,0.783188998699188,0.830899000167847,0.880842983722687,0.932971000671387,0.987065017223358,1.04329395294189,1.10225903987885,1.16488099098206,1.23191094398499,1.30376100540161,1.38041794300079,1.46170401573181,1.54719698429108,1.63658595085144,1.72990000247955,1.82739400863647
BJ,Benin,Current US$,West Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/benin,2570169856.0,2680331264.0,3054571008.0,3905366016.0,4521424896.0,4803702272.0,5142380544.0,5969535488.0,7132788224.0,7097199104.0,6970240512.0,10679326720.0,11148413952.0,12518028288.0,13208261632.0,11389305856.0,11817803776.0,12697174016.0,14257448960.0,14392297472.0,15674184704.0,18850920448.0,20870594560.0
